央视频道,#genre#
CCTV8,http://36.135.52.57:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://113.195.4.227:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://223.75.148.190:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://210.22.75.86:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://58.245.97.28:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://116.226.15.239:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://60.4.9.40:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://223.107.105.100:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://42.233.232.25:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV8,http://59.173.183.242:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://112.6.165.112:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://60.4.9.40:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://223.107.105.100:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://36.135.52.57:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://119.164.81.193:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV9,http://59.173.183.242:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://223.75.148.190:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://183.223.157.33:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://36.135.52.57:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://119.164.81.193:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV10,http://60.4.9.40:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://183.223.157.33:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://112.6.165.112:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://59.173.183.242:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://223.75.148.190:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://223.107.105.100:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://223.107.105.100:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://36.135.52.57:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://119.164.81.193:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV11,http://183.223.157.33:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://59.173.183.242:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://223.75.148.190:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://36.135.52.57:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://223.107.105.100:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://58.245.97.28:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://112.6.165.112:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://60.4.9.40:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://183.223.157.33:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://59.173.183.242:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://119.164.81.193:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV12,http://223.75.148.190:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://59.173.183.242:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://119.164.81.193:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV13,http://183.223.157.33:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://223.107.105.100:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://223.75.148.190:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://58.245.97.28:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://36.135.52.57:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://60.4.9.40:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://112.6.165.112:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://183.223.157.33:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://119.164.81.193:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV14,http://223.75.148.190:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://59.173.183.242:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://36.135.52.57:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://223.107.105.100:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV15,http://59.173.183.242:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://58.245.97.28:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://223.75.148.190:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://119.164.81.193:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV15,http://36.135.52.57:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV15,http://183.223.157.33:9901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://113.195.4.227:9901/tsfile/live/1089_1.m3u8?key=txiptv
CCTV16,http://36.135.52.57:9901/tsfile/live/0016_2.m3u8?key=txiptv
CCTV17,http://183.223.157.33:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV17,http://60.4.9.40:9901/tsfile/live/0019_1.m3u8?key=txiptv
CCTV17,http://59.173.183.242:9901/tsfile/live/0017_1.m3u8?key=txiptv
CCTV17,http://119.164.81.193:9901/tsfile/live/0017_1.m3u8?key=txiptv
CCTV17,http://36.135.52.57:9901/tsfile/live/0017_1.m3u8?key=txiptv
CCTV17,http://58.245.97.28:9901/tsfile/live/0019_1.m3u8?key=txiptv
CCTV第一剧场,http://113.195.4.227:9901/tsfile/live/1028_1.m3u8?key=txiptv
CCTV风云剧场,http://113.195.4.227:9901/tsfile/live/1085_1.m3u8?key=txiptv
CCTV风云剧场,http://113.195.4.227:9901/tsfile/live/1037_1.m3u8?key=txiptv
CCTV风云足球,http://113.195.4.227:9901/tsfile/live/1049_1.m3u8?key=txiptv
CCTV女性时尚,http://113.195.4.227:9901/tsfile/live/1054_1.m3u8?key=txiptv
CCTV风云足球,http://113.195.4.227:9901/tsfile/live/1049_1.m3u8?key=txiptv
卫视频道,#genre#
湖南卫视,http://223.75.148.190:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖南卫视,http://36.135.52.57:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://223.107.105.100:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://58.245.97.28:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://183.223.157.33:9901/tsfile/live/0019_1.m3u8?key=txiptv
湖南卫视,http://59.173.183.242:9901/tsfile/live/0128_1.m3u8?key=txiptv
湖南卫视,http://210.22.75.86:9901/tsfile/live/0128_1.m3u8?key=txiptv
浙江卫视,http://58.245.97.28:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://36.135.52.57:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://119.164.81.193:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://223.107.105.100:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://210.22.75.86:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://223.75.148.190:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://59.173.183.242:9901/tsfile/live/0124_1.m3u8?key=txiptv
江苏卫视,http://223.75.148.190:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://36.135.52.57:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://210.22.75.86:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://183.223.157.33:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://223.107.105.100:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://59.173.183.242:9901/tsfile/live/0127_1.m3u8?key=txiptv
江苏卫视,http://58.245.97.28:9901/tsfile/live/0127_1.m3u8?key=txiptv
北京卫视,http://223.107.105.100:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://223.75.148.190:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://59.173.183.242:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://36.135.52.57:9901/tsfile/live/0122_1.m3u8?key=txiptv
北京卫视,http://119.164.81.193:9901/tsfile/live/0122_1.m3u8?key=txiptv
东方卫视,http://223.107.105.100:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://36.135.52.57:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://119.164.81.193:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://58.245.97.28:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://210.22.75.86:9901/tsfile/live/0107_1.m3u8?key=txiptv
东方卫视,http://59.173.183.242:9901/tsfile/live/0107_1.m3u8?key=txiptv
安徽卫视,http://210.22.75.86:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://1.30.178.49:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://119.164.81.193:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://223.107.105.100:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://58.245.97.28:9901/tsfile/live/0130_1.m3u8?key=txiptv
安徽卫视,http://36.135.52.57:9901/tsfile/live/0130_1.m3u8?key=txiptv
广东卫视,http://36.135.52.57:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://59.173.183.242:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://223.107.105.100:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://119.164.81.193:9901/tsfile/live/0125_1.m3u8?key=txiptv
广东卫视,http://58.245.97.28:9901/tsfile/live/0125_1.m3u8?key=txiptv
深圳卫视,http://59.173.183.242:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://119.164.81.193:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://36.135.52.57:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://223.107.105.100:9901/tsfile/live/0126_1.m3u8?key=txiptv
辽宁卫视,http://36.135.52.57:9901/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://116.226.15.239:9901/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://119.164.81.193:9901/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://58.245.97.28:9901/tsfile/live/0121_1.m3u8?key=txiptv
辽宁卫视,http://112.6.165.112:9901/tsfile/live/0121_1.m3u8?key=txiptv
海南卫视,http://223.107.105.100:9901/tsfile/live/1001_1.m3u8?key=txiptv
海南卫视,http://223.75.148.190:9901/tsfile/live/0125_1.m3u8?key=txiptv
山东卫视,http://58.245.97.28:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://223.107.105.100:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://112.6.165.112:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://116.226.15.239:9901/tsfile/live/0131_1.m3u8?key=txiptv
山东卫视,http://36.135.52.57:9901/tsfile/live/0131_1.m3u8?key=txiptv
天津卫视,http://58.245.97.28:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://119.164.81.193:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://36.135.52.57:9901/tsfile/live/0135_1.m3u8?key=txiptv
重庆卫视,http://223.107.105.100:9901/tsfile/live/0129_1.m3u8?key=txiptv
重庆卫视,http://36.135.52.57:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://119.164.81.193:9901/tsfile/live/0142_1.m3u8?key=txiptv
重庆卫视,http://58.245.97.28:9901/tsfile/live/0142_1.m3u8?key=txiptv
东南卫视,http://119.164.81.193:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://36.135.52.57:9901/tsfile/live/0137_1.m3u8?key=txiptv
东南卫视,http://58.245.97.28:9901/tsfile/live/0137_1.m3u8?key=txiptv
甘肃卫视,http://116.226.15.239:9901/tsfile/live/0113_1.m3u8?key=txiptv
甘肃卫视,http://223.107.105.100:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://36.135.52.57:9901/tsfile/live/0141_1.m3u8?key=txiptv
甘肃卫视,http://119.164.81.193:9901/tsfile/live/0141_1.m3u8?key=txiptv
广西卫视,http://119.164.81.193:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://36.135.52.57:9901/tsfile/live/0113_1.m3u8?key=txiptv
广西卫视,http://116.226.15.239:9901/tsfile/live/0118_1.m3u8?key=txiptv
广西卫视,http://116.9.204.242:9901/tsfile/live/0113_1.m3u8?key=txiptv
贵州卫视,http://1.30.178.49:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://36.135.52.57:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://119.164.81.193:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://223.107.105.100:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://116.226.15.239:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://58.245.97.28:9901/tsfile/live/0120_1.m3u8?key=txiptv
贵州卫视,http://223.75.148.190:9901/tsfile/live/0128_1.m3u8?key=txiptv
河北卫视,http://112.6.165.112:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://119.164.81.193:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://36.135.52.57:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://58.245.97.28:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://116.226.15.239:9901/tsfile/live/0117_1.m3u8?key=txiptv
河北卫视,http://223.107.105.100:9901/tsfile/live/0117_1.m3u8?key=txiptv
黑龙江卫视,http://59.173.183.242:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://36.135.52.57:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://223.107.105.100:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://58.245.97.28:9901/tsfile/live/0143_1.m3u8?key=txiptv
黑龙江卫视,http://119.164.81.193:9901/tsfile/live/0143_1.m3u8?key=txiptv
河南卫视,http://36.135.52.57:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://42.233.232.25:9901/tsfile/live/0017_1.m3u8?key=txiptv
河南卫视,http://119.164.81.193:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://223.75.148.190:9901/tsfile/live/0131_1.m3u8?key=txiptv
河南卫视,http://223.107.105.100:9901/tsfile/live/0139_1.m3u8?key=txiptv
河南卫视,http://58.245.97.28:9901/tsfile/live/0139_1.m3u8?key=txiptv
湖北卫视,http://119.164.81.193:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://1.30.178.49:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://112.6.165.112:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://59.173.183.242:9901/tsfile/live/0019_1.m3u8?key=txiptv
湖北卫视,http://223.107.105.100:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://58.245.97.28:9901/tsfile/live/0132_1.m3u8?key=txiptv
湖北卫视,http://36.135.52.57:9901/tsfile/live/0132_1.m3u8?key=txiptv
江西卫视,http://223.107.105.100:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://119.164.81.193:9901/tsfile/live/0138_1.m3u8?key=txiptv
江西卫视,http://58.245.97.28:9901/tsfile/live/0138_1.m3u8?key=txiptv
吉林卫视,http://116.226.15.239:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://119.164.81.193:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://36.135.52.57:9901/tsfile/live/0018_1.m3u8?key=txiptv
吉林卫视,http://223.107.105.100:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://58.245.97.28:9901/tsfile/live/0116_1.m3u8?key=txiptv
吉林卫视,http://223.75.148.190:9901/tsfile/live/0107_1.m3u8?key=txiptv
四川卫视,http://58.245.97.28:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://183.223.157.33:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://223.107.105.100:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://119.164.81.193:9901/tsfile/live/0123_1.m3u8?key=txiptv
四川卫视,http://36.135.52.57:9901/tsfile/live/0123_1.m3u8?key=txiptv
云南卫视,http://119.164.81.193:9901/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://223.107.105.100:9901/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://116.226.15.239:9901/tsfile/live/0119_1.m3u8?key=txiptv
青海卫视,http://223.107.105.100:9901/tsfile/live/0140_1.m3u8?key=txiptv
青海卫视,http://119.164.81.193:9901/tsfile/live/0140_1.m3u8?key=txiptv
影视频道,#genre#
广西影视,http://116.9.204.242:9901/tsfile/live/0124_1.m3u8?key=txiptv
湖北影视,http://223.75.148.190:9901/tsfile/live/1009_1.m3u8?key=txiptv
国教频道,#genre#
CGTN,http://59.173.183.242:9901/tsfile/live/0016_1.m3u8?key=txiptv
CGTN,http://183.223.157.33:9901/tsfile/live/0017_1.m3u8?key=txiptv
数字频道,#genre#
梨园频道,http://113.195.4.227:9901/tsfile/live/1088_1.m3u8?key=txiptv
欢笑剧场,http://113.195.4.227:9901/tsfile/live/1084_1.m3u8?key=txiptv
快乐垂钓,http://113.195.4.227:9901/tsfile/live/1042_1.m3u8?key=txiptv
港澳频道,#genre#
凤凰中文,http://122.224.232.218:8888/rtp/233.50.200.191:5140
凤凰资讯,http://122.224.232.218:8888/rtp/233.50.200.192:5140
电影频道,#genre#
明星频道,#genre#
刘德华,http://204bae1.123nat.com:35455/yy/1354888726
刘德华,http://204bae1.123nat.com:35455/yy/1382745111
成龙,http://204bae1.123nat.com:35455/yy/34460526
周星驰,http://204bae1.123nat.com:35455/yy/1354658049
周星驰,http://204bae1.123nat.com:35455/yy/38670875
周星驰,http://204bae1.123nat.com:35455/yy/29945997
周星驰,http://204bae1.123nat.com:35455/yy/1354889048
李连杰,http://204bae1.123nat.com:35455/yy/1348991095
李连杰,http://204bae1.123nat.com:35455/yy/74613175
林正英,http://204bae1.123nat.com:35455/yy/1453996620
林正英,http://204bae1.123nat.com:35455/yy/1351505899
林正英,http://204bae1.123nat.com:35455/yy/1382841203
林正英,http://204bae1.123nat.com:35455/yy/1353685311
林正英,http://204bae1.123nat.com:35455/yy/30668277
洪金宝,http://204bae1.123nat.com:35455/yy/1354924839
洪金宝,http://204bae1.123nat.com:35455/yy/1382851602
